Year_Month,Card_type,Contract_region,Trip
Jul-2016,Adult,Night Ride 10,7737
Jul-2016,Child/Youth,Night Ride 10,71
Jul-2016,Concession,Night Ride 10,604
Jul-2016,Free Travel,Night Ride 10,7
Jul-2016,Senior/Pensioner,Night Ride 10,292
Jul-2016,Adult,Night Ride 100,618
Jul-2016,Child/Youth,Night Ride 100,14
Jul-2016,Concession,Night Ride 100,57
Jul-2016,Senior/Pensioner,Night Ride 100,29
Jul-2016,Adult,Night Ride 11,5340
Jul-2016,Child/Youth,Night Ride 11,60
Jul-2016,Concession,Night Ride 11,319
Jul-2016,Free Travel,Night Ride 11,1
Jul-2016,Senior/Pensioner,Night Ride 11,334
Jul-2016,Adult,Night Ride 20,502
Jul-2016,Child/Youth,Night Ride 20,5
Jul-2016,Concession,Night Ride 20,71
Jul-2016,Senior/Pensioner,Night Ride 20,42
Jul-2016,Adult,Night Ride 30,4960
Jul-2016,Child/Youth,Night Ride 30,102
Jul-2016,Concession,Night Ride 30,639
Jul-2016,Free Travel,Night Ride 30,21
Jul-2016,Senior/Pensioner,Night Ride 30,634
Jul-2016,Adult,Night Ride 40,5976
Jul-2016,Child/Youth,Night Ride 40,84
Jul-2016,Concession,Night Ride 40,462
Jul-2016,Senior/Pensioner,Night Ride 40,579
Jul-2016,Adult,Night Ride 50,6556
Jul-2016,Child/Youth,Night Ride 50,80
Jul-2016,Concession,Night Ride 50,460
Jul-2016,Senior/Pensioner,Night Ride 50,633
Jul-2016,Adult,Night Ride 60,11446
Jul-2016,Child/Youth,Night Ride 60,89
Jul-2016,Concession,Night Ride 60,511
Jul-2016,Free Travel,Night Ride 60,3
Jul-2016,Senior/Pensioner,Night Ride 60,977
Jul-2016,Adult,Night Ride 61,1313
Jul-2016,Child/Youth,Night Ride 61,13
Jul-2016,Concession,Night Ride 61,168
Jul-2016,Senior/Pensioner,Night Ride 61,100
Jul-2016,Adult,Night Ride 70,5560
Jul-2016,Child/Youth,Night Ride 70,55
Jul-2016,Concession,Night Ride 70,546
Jul-2016,Senior/Pensioner,Night Ride 70,611
Jul-2016,Adult,Night Ride 71,1863
Jul-2016,Child/Youth,Night Ride 71,38
Jul-2016,Concession,Night Ride 71,301
Jul-2016,Senior/Pensioner,Night Ride 71,185
Jul-2016,Adult,Night Ride 80,3652
Jul-2016,Child/Youth,Night Ride 80,98
Jul-2016,Concession,Night Ride 80,509
Jul-2016,Senior/Pensioner,Night Ride 80,289
Jul-2016,Adult,Night Ride 90,4997
Jul-2016,Child/Youth,Night Ride 90,135
Jul-2016,Concession,Night Ride 90,1004
Jul-2016,Senior/Pensioner,Night Ride 90,228
Jul-2016,Adult,Outer Sydney Metro Contract 1,3321
Jul-2016,Child/Youth,Outer Sydney Metro Contract 1,1202
Jul-2016,Concession,Outer Sydney Metro Contract 1,3995
Jul-2016,Free Travel,Outer Sydney Metro Contract 1,164
Jul-2016,School Student,Outer Sydney Metro Contract 1,15491
Jul-2016,Senior/Pensioner,Outer Sydney Metro Contract 1,6197
Jul-2016,Adult,Outer Sydney Metro Contract 10,51884
Jul-2016,Child/Youth,Outer Sydney Metro Contract 10,14668
Jul-2016,Concession,Outer Sydney Metro Contract 10,46653
Jul-2016,Free Travel,Outer Sydney Metro Contract 10,835
Jul-2016,School Student,Outer Sydney Metro Contract 10,96126
Jul-2016,Senior/Pensioner,Outer Sydney Metro Contract 10,90518
Jul-2016,Adult,Outer Sydney Metro Contract 11,717
Jul-2016,Child/Youth,Outer Sydney Metro Contract 11,244
Jul-2016,Concession,Outer Sydney Metro Contract 11,503
Jul-2016,Free Travel,Outer Sydney Metro Contract 11,11
Jul-2016,School Student,Outer Sydney Metro Contract 11,3434
Jul-2016,Senior/Pensioner,Outer Sydney Metro Contract 11,860
Jul-2016,Adult,Outer Sydney Metro Contract 12,12455
Jul-2016,Child/Youth,Outer Sydney Metro Contract 12,2863
Jul-2016,Concession,Outer Sydney Metro Contract 12,5697
Jul-2016,Free Travel,Outer Sydney Metro Contract 12,171
Jul-2016,School Student,Outer Sydney Metro Contract 12,10338
Jul-2016,Senior/Pensioner,Outer Sydney Metro Contract 12,18338
Jul-2016,Adult,Outer Sydney Metro Contract 2,13604
Jul-2016,Child/Youth,Outer Sydney Metro Contract 2,4639
Jul-2016,Concession,Outer Sydney Metro Contract 2,14488
Jul-2016,Free Travel,Outer Sydney Metro Contract 2,397
Jul-2016,School Student,Outer Sydney Metro Contract 2,68344
Jul-2016,Senior/Pensioner,Outer Sydney Metro Contract 2,26395
Jul-2016,Adult,Outer Sydney Metro Contract 3,7243
Jul-2016,Child/Youth,Outer Sydney Metro Contract 3,994
Jul-2016,Concession,Outer Sydney Metro Contract 3,5628
Jul-2016,Free Travel,Outer Sydney Metro Contract 3,129
Jul-2016,School Student,Outer Sydney Metro Contract 3,11464
Jul-2016,Senior/Pensioner,Outer Sydney Metro Contract 3,7850
Jul-2016,Adult,Outer Sydney Metro Contract 4,14356
Jul-2016,Child/Youth,Outer Sydney Metro Contract 4,3347
Jul-2016,Concession,Outer Sydney Metro Contract 4,13257
Jul-2016,Employee,Outer Sydney Metro Contract 4,1
Jul-2016,Free Travel,Outer Sydney Metro Contract 4,122
Jul-2016,School Student,Outer Sydney Metro Contract 4,13590
Jul-2016,Senior/Pensioner,Outer Sydney Metro Contract 4,24258
Jul-2016,Adult,Outer Sydney Metro Contract 5,102580
Jul-2016,Child/Youth,Outer Sydney Metro Contract 5,15832
Jul-2016,Concession,Outer Sydney Metro Contract 5,66940
Jul-2016,Employee,Outer Sydney Metro Contract 5,3156
Jul-2016,Free Travel,Outer Sydney Metro Contract 5,957
Jul-2016,School Student,Outer Sydney Metro Contract 5,45224
Jul-2016,Senior/Pensioner,Outer Sydney Metro Contract 5,124570
Jul-2016,Adult,Outer Sydney Metro Contract 6,92105
Jul-2016,Child/Youth,Outer Sydney Metro Contract 6,18453
Jul-2016,Concession,Outer Sydney Metro Contract 6,45740
Jul-2016,Free Travel,Outer Sydney Metro Contract 6,1279
Jul-2016,School Student,Outer Sydney Metro Contract 6,44997
Jul-2016,Senior/Pensioner,Outer Sydney Metro Contract 6,114901
Jul-2016,Adult,Outer Sydney Metro Contract 7,40425
Jul-2016,Child/Youth,Outer Sydney Metro Contract 7,9970
Jul-2016,Concession,Outer Sydney Metro Contract 7,25285
Jul-2016,Free Travel,Outer Sydney Metro Contract 7,626
Jul-2016,School Student,Outer Sydney Metro Contract 7,47535
Jul-2016,Senior/Pensioner,Outer Sydney Metro Contract 7,53142
Jul-2016,Adult,Outer Sydney Metro Contract 8,31266
Jul-2016,Child/Youth,Outer Sydney Metro Contract 8,6202
Jul-2016,Concession,Outer Sydney Metro Contract 8,4706
Jul-2016,Free Travel,Outer Sydney Metro Contract 8,93
Jul-2016,School Student,Outer Sydney Metro Contract 8,34602
Jul-2016,Senior/Pensioner,Outer Sydney Metro Contract 8,15507
Jul-2016,Adult,Outer Sydney Metro Contract 9,6314
Jul-2016,Child/Youth,Outer Sydney Metro Contract 9,1053
Jul-2016,Concession,Outer Sydney Metro Contract 9,1046
Jul-2016,Free Travel,Outer Sydney Metro Contract 9,31
Jul-2016,School Student,Outer Sydney Metro Contract 9,11578
Jul-2016,Senior/Pensioner,Outer Sydney Metro Contract 9,3547
Jul-2016,Adult,Sydney Metro Contract 1,390433
Jul-2016,Child/Youth,Sydney Metro Contract 1,62800
Jul-2016,Concession,Sydney Metro Contract 1,136064
Jul-2016,Free Travel,Sydney Metro Contract 1,1149
Jul-2016,School Student,Sydney Metro Contract 1,138642
Jul-2016,Senior/Pensioner,Sydney Metro Contract 1,206110
Jul-2016,Adult,Sydney Metro Contract 10,234451
Jul-2016,Child/Youth,Sydney Metro Contract 10,41035
Jul-2016,Concession,Sydney Metro Contract 10,52410
Jul-2016,Free Travel,Sydney Metro Contract 10,966
Jul-2016,School Student,Sydney Metro Contract 10,65516
Jul-2016,Senior/Pensioner,Sydney Metro Contract 10,140185
Jul-2016,Adult,Sydney Metro Contract 12,83809
Jul-2016,Child/Youth,Sydney Metro Contract 12,25578
Jul-2016,Concession,Sydney Metro Contract 12,14085
Jul-2016,Free Travel,Sydney Metro Contract 12,142
Jul-2016,School Student,Sydney Metro Contract 12,56735
Jul-2016,Senior/Pensioner,Sydney Metro Contract 12,32213
Jul-2016,Adult,Sydney Metro Contract 13,263240
Jul-2016,Child/Youth,Sydney Metro Contract 13,34179
Jul-2016,Concession,Sydney Metro Contract 13,76144
Jul-2016,Free Travel,Sydney Metro Contract 13,686
Jul-2016,School Student,Sydney Metro Contract 13,45215
Jul-2016,Senior/Pensioner,Sydney Metro Contract 13,181546
Jul-2016,Adult,Sydney Metro Contract 14,200819
Jul-2016,Child/Youth,Sydney Metro Contract 14,38057
Jul-2016,Concession,Sydney Metro Contract 14,23618
Jul-2016,Free Travel,Sydney Metro Contract 14,214
Jul-2016,School Student,Sydney Metro Contract 14,34611
Jul-2016,Senior/Pensioner,Sydney Metro Contract 14,42259
Jul-2016,Adult,Sydney Metro Contract 15,80130
Jul-2016,Child/Youth,Sydney Metro Contract 15,16836
Jul-2016,Concession,Sydney Metro Contract 15,43454
Jul-2016,Free Travel,Sydney Metro Contract 15,685
Jul-2016,School Student,Sydney Metro Contract 15,31033
Jul-2016,Senior/Pensioner,Sydney Metro Contract 15,55835
Jul-2016,Adult,Sydney Metro Contract 2,95379
Jul-2016,Child/Youth,Sydney Metro Contract 2,15217
Jul-2016,Concession,Sydney Metro Contract 2,37534
Jul-2016,Free Travel,Sydney Metro Contract 2,663
Jul-2016,School Student,Sydney Metro Contract 2,33879
Jul-2016,Senior/Pensioner,Sydney Metro Contract 2,80018
Jul-2016,Adult,Sydney Metro Contract 3,358199
Jul-2016,Child/Youth,Sydney Metro Contract 3,48558
Jul-2016,Concession,Sydney Metro Contract 3,141581
Jul-2016,Employee,Sydney Metro Contract 3,1
Jul-2016,Free Travel,Sydney Metro Contract 3,1299
Jul-2016,School Student,Sydney Metro Contract 3,69157
Jul-2016,Senior/Pensioner,Sydney Metro Contract 3,242938
Jul-2016,Adult,Sydney Metro Contract 4,1110352
Jul-2016,Child/Youth,Sydney Metro Contract 4,89626
Jul-2016,Concession,Sydney Metro Contract 4,143585
Jul-2016,Employee,Sydney Metro Contract 4,1
Jul-2016,Free Travel,Sydney Metro Contract 4,1436
Jul-2016,School Student,Sydney Metro Contract 4,106945
Jul-2016,Senior/Pensioner,Sydney Metro Contract 4,184319
Jul-2016,Adult,Sydney Metro Contract 5,101718
Jul-2016,Child/Youth,Sydney Metro Contract 5,16248
Jul-2016,Concession,Sydney Metro Contract 5,26744
Jul-2016,Free Travel,Sydney Metro Contract 5,374
Jul-2016,School Student,Sydney Metro Contract 5,18869
Jul-2016,Senior/Pensioner,Sydney Metro Contract 5,97341
Jul-2016,Adult,Sydney Metro Contract 6,2410236
Jul-2016,Child/Youth,Sydney Metro Contract 6,139732
Jul-2016,Concession,Sydney Metro Contract 6,262299
Jul-2016,Employee,Sydney Metro Contract 6,19783
Jul-2016,Free Travel,Sydney Metro Contract 6,3328
Jul-2016,School Student,Sydney Metro Contract 6,53202
Jul-2016,Senior/Pensioner,Sydney Metro Contract 6,603906
Jul-2016,Adult,Sydney Metro Contract 7,1615630
Jul-2016,Child/Youth,Sydney Metro Contract 7,128451
Jul-2016,Concession,Sydney Metro Contract 7,140995
Jul-2016,Employee,Sydney Metro Contract 7,9382
Jul-2016,Free Travel,Sydney Metro Contract 7,2229
Jul-2016,School Student,Sydney Metro Contract 7,93651
Jul-2016,Senior/Pensioner,Sydney Metro Contract 7,337392
Jul-2016,Adult,Sydney Metro Contract 8,1378464
Jul-2016,Child/Youth,Sydney Metro Contract 8,134349
Jul-2016,Concession,Sydney Metro Contract 8,105937
Jul-2016,Employee,Sydney Metro Contract 8,10210
Jul-2016,Free Travel,Sydney Metro Contract 8,2346
Jul-2016,School Student,Sydney Metro Contract 8,91736
Jul-2016,Senior/Pensioner,Sydney Metro Contract 8,248198
Jul-2016,Adult,Sydney Metro Contract 9,4376415
Jul-2016,Child/Youth,Sydney Metro Contract 9,208559
Jul-2016,Concession,Sydney Metro Contract 9,400008
Jul-2016,Employee,Sydney Metro Contract 9,22441
Jul-2016,Free Travel,Sydney Metro Contract 9,4861
Jul-2016,School Student,Sydney Metro Contract 9,55279
Jul-2016,Senior/Pensioner,Sydney Metro Contract 9,795776
Jul-2016,Adult,UNKNOWN,10367
Jul-2016,Child/Youth,UNKNOWN,104
Jul-2016,Concession,UNKNOWN,1275
Jul-2016,Employee,UNKNOWN,14
Jul-2016,Free Travel,UNKNOWN,3
Jul-2016,School Student,UNKNOWN,47
Jul-2016,Senior/Pensioner,UNKNOWN,606
Aug-2016,Adult,Night Ride 10,7407
Aug-2016,Adult Single Bus Trip 1,Night Ride 10,41
Aug-2016,Adult Single Bus Trip 2,Night Ride 10,50
Aug-2016,Adult Single Bus Trip 3,Night Ride 10,120
Aug-2016,Child/Youth,Night Ride 10,92
Aug-2016,Child/Youth Single Bus Trip 1,Night Ride 10,4
Aug-2016,Child/Youth Single Bus Trip 2,Night Ride 10,4
Aug-2016,Child/Youth Single Bus Trip 3,Night Ride 10,3
Aug-2016,Concession,Night Ride 10,601
Aug-2016,Free Travel,Night Ride 10,7
Aug-2016,Senior/Pensioner,Night Ride 10,366
Aug-2016,Adult,Night Ride 100,498
Aug-2016,Adult Single Bus Trip 1,Night Ride 100,4
Aug-2016,Adult Single Bus Trip 2,Night Ride 100,4
Aug-2016,Child/Youth,Night Ride 100,17
Aug-2016,Child/Youth Single Bus Trip 2,Night Ride 100,1
Aug-2016,Concession,Night Ride 100,35
Aug-2016,Senior/Pensioner,Night Ride 100,21
Aug-2016,Adult,Night Ride 11,5230
Aug-2016,Adult Single Bus Trip 1,Night Ride 11,16
Aug-2016,Adult Single Bus Trip 2,Night Ride 11,31
Aug-2016,Adult Single Bus Trip 3,Night Ride 11,86
Aug-2016,Child/Youth,Night Ride 11,74
Aug-2016,Child/Youth Single Bus Trip 2,Night Ride 11,3
Aug-2016,Child/Youth Single Bus Trip 3,Night Ride 11,3
Aug-2016,Concession,Night Ride 11,310
Aug-2016,Senior/Pensioner,Night Ride 11,299
Aug-2016,Adult,Night Ride 20,510
Aug-2016,Adult Single Bus Trip 1,Night Ride 20,3
Aug-2016,Adult Single Bus Trip 2,Night Ride 20,7
Aug-2016,Child/Youth,Night Ride 20,7
Aug-2016,Concession,Night Ride 20,39
Aug-2016,Senior/Pensioner,Night Ride 20,49
Aug-2016,Adult,Night Ride 30,4736
Aug-2016,Adult Single Bus Trip 1,Night Ride 30,35
Aug-2016,Adult Single Bus Trip 2,Night Ride 30,43
Aug-2016,Adult Single Bus Trip 3,Night Ride 30,252
Aug-2016,Child/Youth,Night Ride 30,106
Aug-2016,Child/Youth Single Bus Trip 1,Night Ride 30,5
Aug-2016,Child/Youth Single Bus Trip 2,Night Ride 30,8
Aug-2016,Child/Youth Single Bus Trip 3,Night Ride 30,20
Aug-2016,Concession,Night Ride 30,641
Aug-2016,Free Travel,Night Ride 30,15
Aug-2016,Senior/Pensioner,Night Ride 30,650
Aug-2016,Adult,Night Ride 40,6193
Aug-2016,Adult Single Bus Trip 1,Night Ride 40,25
Aug-2016,Adult Single Bus Trip 2,Night Ride 40,47
Aug-2016,Adult Single Bus Trip 3,Night Ride 40,73
Aug-2016,Child/Youth,Night Ride 40,82
Aug-2016,Child/Youth Single Bus Trip 1,Night Ride 40,2
Aug-2016,Child/Youth Single Bus Trip 2,Night Ride 40,10
Aug-2016,Child/Youth Single Bus Trip 3,Night Ride 40,15
Aug-2016,Concession,Night Ride 40,516
Aug-2016,Free Travel,Night Ride 40,3
Aug-2016,Senior/Pensioner,Night Ride 40,624
Aug-2016,Adult,Night Ride 50,6783
Aug-2016,Adult Single Bus Trip 1,Night Ride 50,47
Aug-2016,Adult Single Bus Trip 2,Night Ride 50,95
Aug-2016,Adult Single Bus Trip 3,Night Ride 50,113
Aug-2016,Child/Youth,Night Ride 50,93
Aug-2016,Child/Youth Single Bus Trip 1,Night Ride 50,11
Aug-2016,Child/Youth Single Bus Trip 2,Night Ride 50,7
Aug-2016,Child/Youth Single Bus Trip 3,Night Ride 50,3
Aug-2016,Concession,Night Ride 50,497
Aug-2016,School Student,Night Ride 50,1
Aug-2016,Senior/Pensioner,Night Ride 50,698
Aug-2016,Adult,Night Ride 60,11731
Aug-2016,Adult Single Bus Trip 1,Night Ride 60,55
Aug-2016,Adult Single Bus Trip 2,Night Ride 60,99
Aug-2016,Adult Single Bus Trip 3,Night Ride 60,134
Aug-2016,Child/Youth,Night Ride 60,115
Aug-2016,Child/Youth Single Bus Trip 1,Night Ride 60,4
Aug-2016,Child/Youth Single Bus Trip 2,Night Ride 60,10
Aug-2016,Child/Youth Single Bus Trip 3,Night Ride 60,12
Aug-2016,Concession,Night Ride 60,550
Aug-2016,Free Travel,Night Ride 60,6
Aug-2016,Senior/Pensioner,Night Ride 60,1033
Aug-2016,Adult,Night Ride 61,1221
Aug-2016,Adult Single Bus Trip 1,Night Ride 61,1
Aug-2016,Adult Single Bus Trip 2,Night Ride 61,6
Aug-2016,Adult Single Bus Trip 3,Night Ride 61,19
Aug-2016,Child/Youth,Night Ride 61,14
Aug-2016,Child/Youth Single Bus Trip 2,Night Ride 61,1
Aug-2016,Child/Youth Single Bus Trip 3,Night Ride 61,3
Aug-2016,Concession,Night Ride 61,155
Aug-2016,Senior/Pensioner,Night Ride 61,85
Aug-2016,Adult,Night Ride 70,5405
Aug-2016,Adult Single Bus Trip 1,Night Ride 70,18
Aug-2016,Adult Single Bus Trip 2,Night Ride 70,19
Aug-2016,Adult Single Bus Trip 3,Night Ride 70,117
Aug-2016,Child/Youth,Night Ride 70,61
Aug-2016,Child/Youth Single Bus Trip 1,Night Ride 70,2
Aug-2016,Child/Youth Single Bus Trip 2,Night Ride 70,7
Aug-2016,Child/Youth Single Bus Trip 3,Night Ride 70,19
Aug-2016,Concession,Night Ride 70,545
Aug-2016,Free Travel,Night Ride 70,5
Aug-2016,Senior/Pensioner,Night Ride 70,616
Aug-2016,Adult,Night Ride 71,1494
Aug-2016,Adult Single Bus Trip 1,Night Ride 71,5
Aug-2016,Adult Single Bus Trip 2,Night Ride 71,9
Aug-2016,Adult Single Bus Trip 3,Night Ride 71,78
Aug-2016,Child/Youth,Night Ride 71,28
Aug-2016,Child/Youth Single Bus Trip 2,Night Ride 71,1
Aug-2016,Child/Youth Single Bus Trip 3,Night Ride 71,16
Aug-2016,Concession,Night Ride 71,274
Aug-2016,Free Travel,Night Ride 71,2
Aug-2016,Senior/Pensioner,Night Ride 71,146
Aug-2016,Adult,Night Ride 80,3784
Aug-2016,Adult Single Bus Trip 1,Night Ride 80,19
Aug-2016,Adult Single Bus Trip 2,Night Ride 80,26
Aug-2016,Adult Single Bus Trip 3,Night Ride 80,60
Aug-2016,Child/Youth,Night Ride 80,40
Aug-2016,Child/Youth Single Bus Trip 1,Night Ride 80,3
Aug-2016,Child/Youth Single Bus Trip 2,Night Ride 80,4
Aug-2016,Child/Youth Single Bus Trip 3,Night Ride 80,13
Aug-2016,Concession,Night Ride 80,499
Aug-2016,Free Travel,Night Ride 80,1
Aug-2016,School Student,Night Ride 80,1
Aug-2016,Senior/Pensioner,Night Ride 80,307
Aug-2016,Adult,Night Ride 90,4984
Aug-2016,Adult Single Bus Trip 1,Night Ride 90,16
Aug-2016,Adult Single Bus Trip 2,Night Ride 90,50
Aug-2016,Adult Single Bus Trip 3,Night Ride 90,76
Aug-2016,Child/Youth,Night Ride 90,99
Aug-2016,Child/Youth Single Bus Trip 1,Night Ride 90,3
Aug-2016,Child/Youth Single Bus Trip 2,Night Ride 90,7
Aug-2016,Child/Youth Single Bus Trip 3,Night Ride 90,13
Aug-2016,Concession,Night Ride 90,982
Aug-2016,Senior/Pensioner,Night Ride 90,261
Aug-2016,Adult,Outer Sydney Metro Contract 1,2632
Aug-2016,Adult Single Bus Trip 1,Outer Sydney Metro Contract 1,347
Aug-2016,Adult Single Bus Trip 2,Outer Sydney Metro Contract 1,324
Aug-2016,Adult Single Bus Trip 3,Outer Sydney Metro Contract 1,1453
Aug-2016,Child/Youth,Outer Sydney Metro Contract 1,1799
Aug-2016,Child/Youth Single Bus Trip 1,Outer Sydney Metro Contract 1,233
Aug-2016,Child/Youth Single Bus Trip 2,Outer Sydney Metro Contract 1,76
Aug-2016,Child/Youth Single Bus Trip 3,Outer Sydney Metro Contract 1,456
Aug-2016,Concession,Outer Sydney Metro Contract 1,1385
Aug-2016,Free Travel,Outer Sydney Metro Contract 1,136
Aug-2016,School Student,Outer Sydney Metro Contract 1,36770
Aug-2016,Senior/Pensioner,Outer Sydney Metro Contract 1,7082
Aug-2016,Adult,Outer Sydney Metro Contract 10,43670
Aug-2016,Adult Single Bus Trip 1,Outer Sydney Metro Contract 10,9036
Aug-2016,Adult Single Bus Trip 2,Outer Sydney Metro Contract 10,8047
Aug-2016,Adult Single Bus Trip 3,Outer Sydney Metro Contract 10,3362
Aug-2016,Child/Youth,Outer Sydney Metro Contract 10,20750
Aug-2016,Child/Youth Single Bus Trip 1,Outer Sydney Metro Contract 10,5341
Aug-2016,Child/Youth Single Bus Trip 2,Outer Sydney Metro Contract 10,2234
Aug-2016,Child/Youth Single Bus Trip 3,Outer Sydney Metro Contract 10,703
Aug-2016,Concession,Outer Sydney Metro Contract 10,17325
Aug-2016,Free Travel,Outer Sydney Metro Contract 10,1220
Aug-2016,School Student,Outer Sydney Metro Contract 10,217971
Aug-2016,Senior/Pensioner,Outer Sydney Metro Contract 10,105311
Aug-2016,Adult,Outer Sydney Metro Contract 11,616
Aug-2016,Adult Single Bus Trip 1,Outer Sydney Metro Contract 11,109
Aug-2016,Adult Single Bus Trip 2,Outer Sydney Metro Contract 11,71
Aug-2016,Adult Single Bus Trip 3,Outer Sydney Metro Contract 11,34
Aug-2016,Child/Youth,Outer Sydney Metro Contract 11,299
Aug-2016,Child/Youth Single Bus Trip 1,Outer Sydney Metro Contract 11,12
Aug-2016,Child/Youth Single Bus Trip 2,Outer Sydney Metro Contract 11,42
Aug-2016,Child/Youth Single Bus Trip 3,Outer Sydney Metro Contract 11,12
Aug-2016,Concession,Outer Sydney Metro Contract 11,126
Aug-2016,Free Travel,Outer Sydney Metro Contract 11,6
Aug-2016,School Student,Outer Sydney Metro Contract 11,7684
Aug-2016,Senior/Pensioner,Outer Sydney Metro Contract 11,746
Aug-2016,Adult,Outer Sydney Metro Contract 12,10256
Aug-2016,Adult Single Bus Trip 1,Outer Sydney Metro Contract 12,1262
Aug-2016,Adult Single Bus Trip 2,Outer Sydney Metro Contract 12,1708
Aug-2016,Adult Single Bus Trip 3,Outer Sydney Metro Contract 12,927
Aug-2016,Child/Youth,Outer Sydney Metro Contract 12,3225
Aug-2016,Child/Youth Single Bus Trip 1,Outer Sydney Metro Contract 12,279
Aug-2016,Child/Youth Single Bus Trip 2,Outer Sydney Metro Contract 12,207
Aug-2016,Child/Youth Single Bus Trip 3,Outer Sydney Metro Contract 12,133
Aug-2016,Concession,Outer Sydney Metro Contract 12,3747
Aug-2016,Free Travel,Outer Sydney Metro Contract 12,204
Aug-2016,School Student,Outer Sydney Metro Contract 12,22988
Aug-2016,Senior/Pensioner,Outer Sydney Metro Contract 12,20377
Aug-2016,Adult,Outer Sydney Metro Contract 2,11461
Aug-2016,Adult Single Bus Trip 1,Outer Sydney Metro Contract 2,2809
Aug-2016,Adult Single Bus Trip 2,Outer Sydney Metro Contract 2,1919
Aug-2016,Adult Single Bus Trip 3,Outer Sydney Metro Contract 2,2009
Aug-2016,Child/Youth,Outer Sydney Metro Contract 2,7487
Aug-2016,Child/Youth Single Bus Trip 1,Outer Sydney Metro Contract 2,719
Aug-2016,Child/Youth Single Bus Trip 2,Outer Sydney Metro Contract 2,426
Aug-2016,Child/Youth Single Bus Trip 3,Outer Sydney Metro Contract 2,495
Aug-2016,Concession,Outer Sydney Metro Contract 2,4112
Aug-2016,Free Travel,Outer Sydney Metro Contract 2,482
Aug-2016,School Student,Outer Sydney Metro Contract 2,175183
Aug-2016,Senior/Pensioner,Outer Sydney Metro Contract 2,29523
Aug-2016,Adult,Outer Sydney Metro Contract 3,4471
Aug-2016,Adult Single Bus Trip 1,Outer Sydney Metro Contract 3,877
Aug-2016,Adult Single Bus Trip 2,Outer Sydney Metro Contract 3,1419
Aug-2016,Adult Single Bus Trip 3,Outer Sydney Metro Contract 3,1721
Aug-2016,Child/Youth,Outer Sydney Metro Contract 3,1341
Aug-2016,Child/Youth Single Bus Trip 1,Outer Sydney Metro Contract 3,135
Aug-2016,Child/Youth Single Bus Trip 2,Outer Sydney Metro Contract 3,586
Aug-2016,Child/Youth Single Bus Trip 3,Outer Sydney Metro Contract 3,286
Aug-2016,Concession,Outer Sydney Metro Contract 3,1394
Aug-2016,Free Travel,Outer Sydney Metro Contract 3,98
Aug-2016,School Student,Outer Sydney Metro Contract 3,25163
Aug-2016,Senior/Pensioner,Outer Sydney Metro Contract 3,8825
Aug-2016,Adult,Outer Sydney Metro Contract 4,15736
Aug-2016,Adult Single Bus Trip 1,Outer Sydney Metro Contract 4,1870
Aug-2016,Adult Single Bus Trip 2,Outer Sydney Metro Contract 4,1957
Aug-2016,Adult Single Bus Trip 3,Outer Sydney Metro Contract 4,428
Aug-2016,Child/Youth,Outer Sydney Metro Contract 4,4315
Aug-2016,Child/Youth Single Bus Trip 1,Outer Sydney Metro Contract 4,334
Aug-2016,Child/Youth Single Bus Trip 2,Outer Sydney Metro Contract 4,516
Aug-2016,Child/Youth Single Bus Trip 3,Outer Sydney Metro Contract 4,126
Aug-2016,Concession,Outer Sydney Metro Contract 4,6316
Aug-2016,Free Travel,Outer Sydney Metro Contract 4,172
Aug-2016,School Student,Outer Sydney Metro Contract 4,55277
Aug-2016,Senior/Pensioner,Outer Sydney Metro Contract 4,27222
Aug-2016,Adult,Outer Sydney Metro Contract 5,113219
Aug-2016,Adult Single Bus Trip 1,Outer Sydney Metro Contract 5,9273
Aug-2016,Adult Single Bus Trip 2,Outer Sydney Metro Contract 5,12613
Aug-2016,Adult Single Bus Trip 3,Outer Sydney Metro Contract 5,3491
Aug-2016,Child/Youth,Outer Sydney Metro Contract 5,19385
Aug-2016,Child/Youth Single Bus Trip 1,Outer Sydney Metro Contract 5,1307
Aug-2016,Child/Youth Single Bus Trip 2,Outer Sydney Metro Contract 5,2442
Aug-2016,Child/Youth Single Bus Trip 3,Outer Sydney Metro Contract 5,667
Aug-2016,Concession,Outer Sydney Metro Contract 5,41108
Aug-2016,Employee,Outer Sydney Metro Contract 5,3334
Aug-2016,Free Travel,Outer Sydney Metro Contract 5,1162
Aug-2016,School Student,Outer Sydney Metro Contract 5,110239
Aug-2016,Senior/Pensioner,Outer Sydney Metro Contract 5,139526
Aug-2016,Adult,Outer Sydney Metro Contract 6,80237
Aug-2016,Adult Single Bus Trip 1,Outer Sydney Metro Contract 6,7410
Aug-2016,Adult Single Bus Trip 2,Outer Sydney Metro Contract 6,6588
Aug-2016,Adult Single Bus Trip 3,Outer Sydney Metro Contract 6,1893
Aug-2016,Child/Youth,Outer Sydney Metro Contract 6,17365
Aug-2016,Child/Youth Single Bus Trip 1,Outer Sydney Metro Contract 6,2128
Aug-2016,Child/Youth Single Bus Trip 2,Outer Sydney Metro Contract 6,2487
Aug-2016,Child/Youth Single Bus Trip 3,Outer Sydney Metro Contract 6,781
Aug-2016,Concession,Outer Sydney Metro Contract 6,16666
Aug-2016,Employee,Outer Sydney Metro Contract 6,1
Aug-2016,Free Travel,Outer Sydney Metro Contract 6,1507
Aug-2016,School Student,Outer Sydney Metro Contract 6,89946
